LectureName,Description,Subject,CourseName,Link
Lecture 01,Beginning of gravity,Physics,Gravity,https://drive.google.com/file/d/1VWfnJBu82M97XTugX3inVdBzQfHbI-1r/view?usp=share_link
Lecture 01,Beginning of elasticity,Physics,Elasticity,https://drive.google.com/file/d/1bGCQYo4FpKWmYm46UJ_Ns78EQ0-4Ockd/view?usp=share_link
